Date,Close
3/3/2015 16:00:00,6.41
3/4/2015 16:00:00,6.18
3/5/2015 16:00:00,6.08
3/6/2015 16:00:00,5.96
3/9/2015 16:00:00,5.59
3/10/2015 16:00:00,5.3
3/11/2015 16:00:00,5.41
3/12/2015 16:00:00,5.21
3/13/2015 16:00:00,5.01
3/16/2015 16:00:00,5.09
3/17/2015 16:00:00,5.39
3/18/2015 16:00:00,5.66
3/19/2015 16:00:00,5.26
3/20/2015 16:00:00,5.59
3/23/2015 16:00:00,5.83
3/24/2015 16:00:00,5.88
3/25/2015 16:00:00,6.03
3/26/2015 16:00:00,5.79
3/27/2015 16:00:00,5.7
3/30/2015 16:00:00,5.93
3/31/2015 16:00:00,6.01
4/1/2015 16:00:00,6.35
4/2/2015 16:00:00,6.76
4/6/2015 16:00:00,6.8
4/7/2015 16:00:00,6.9
4/8/2015 16:00:00,6.92
4/9/2015 16:00:00,7.54
4/10/2015 16:00:00,7.75
4/13/2015 16:00:00,8
4/14/2015 16:00:00,8.22
4/15/2015 16:00:00,8.9
4/16/2015 16:00:00,8.68
4/17/2015 16:00:00,8.79
4/20/2015 16:00:00,8.77
4/21/2015 16:00:00,8.58
4/22/2015 16:00:00,8.93
4/23/2015 16:00:00,9.4
4/24/2015 16:00:00,9.99
4/27/2015 16:00:00,9.33
4/28/2015 16:00:00,9.32
4/29/2015 16:00:00,9.34
4/30/2015 16:00:00,9.5
5/1/2015 16:00:00,9.53
5/4/2015 16:00:00,9.78
5/5/2015 16:00:00,10.19
5/6/2015 16:00:00,9.71
5/7/2015 16:00:00,9.66
5/8/2015 16:00:00,9.74
5/11/2015 16:00:00,9.63
5/12/2015 16:00:00,9.76
5/13/2015 16:00:00,9.85
5/14/2015 16:00:00,9.93
5/15/2015 16:00:00,10.13
5/18/2015 16:00:00,9.69
5/19/2015 16:00:00,9.09
5/20/2015 16:00:00,9.14
5/21/2015 16:00:00,9.49
5/22/2015 16:00:00,9.15
5/26/2015 16:00:00,8.51
5/27/2015 16:00:00,8.6
5/28/2015 16:00:00,8.64
5/29/2015 16:00:00,8.35
6/1/2015 16:00:00,8.37
6/2/2015 16:00:00,8.92
6/3/2015 16:00:00,8.82
6/4/2015 16:00:00,8.53
6/5/2015 16:00:00,8.6
6/8/2015 16:00:00,8.8
6/9/2015 16:00:00,9.05
6/10/2015 16:00:00,9.12
6/11/2015 16:00:00,9.14
6/12/2015 16:00:00,9.1
6/15/2015 16:00:00,9.1
6/16/2015 16:00:00,9.5
6/17/2015 16:00:00,9.5
6/18/2015 16:00:00,9.69
6/19/2015 16:00:00,9.4
6/22/2015 16:00:00,9.48
6/23/2015 16:00:00,9.43
6/24/2015 16:00:00,9.47
6/25/2015 16:00:00,9.03
6/26/2015 16:00:00,9.41
6/29/2015 16:00:00,9.03
6/30/2015 16:00:00,9.05
7/1/2015 16:00:00,8.65
7/2/2015 16:00:00,8.83
7/6/2015 16:00:00,8.2
7/7/2015 16:00:00,8.29
7/8/2015 16:00:00,8.04
7/9/2015 16:00:00,8.28
7/10/2015 16:00:00,8.38
7/13/2015 16:00:00,8.51
7/14/2015 16:00:00,8.62
7/15/2015 16:00:00,8.42
7/16/2015 16:00:00,8.41
7/17/2015 16:00:00,7.95
7/20/2015 16:00:00,7.49
7/21/2015 16:00:00,7.48
7/22/2015 16:00:00,7.06
7/23/2015 16:00:00,6.91
7/24/2015 16:00:00,6.65
7/27/2015 16:00:00,6.25
7/28/2015 16:00:00,6.59
7/29/2015 16:00:00,7.07
7/30/2015 16:00:00,6.85
7/31/2015 16:00:00,6.8
8/3/2015 16:00:00,6.35
8/4/2015 16:00:00,6.45
8/5/2015 16:00:00,6.32
8/6/2015 16:00:00,6.49
8/7/2015 16:00:00,6.05
8/10/2015 16:00:00,6.45
8/11/2015 16:00:00,6.25
8/12/2015 16:00:00,6.39
8/13/2015 16:00:00,6.06
8/14/2015 16:00:00,5.99
8/17/2015 16:00:00,5.92
8/18/2015 16:00:00,5.83
8/19/2015 16:00:00,5.64
8/20/2015 16:00:00,5.62
8/21/2015 16:00:00,5.27
8/24/2015 16:00:00,4.9
8/25/2015 16:00:00,4.98
8/26/2015 16:00:00,5.08
8/27/2015 16:00:00,5.73
8/28/2015 16:00:00,5.78
8/31/2015 16:00:00,5.86
9/1/2015 16:00:00,5.42
9/2/2015 16:00:00,5.49
9/3/2015 16:00:00,5.5
9/4/2015 16:00:00,5.16
9/8/2015 16:00:00,5.29
9/9/2015 16:00:00,5.09
9/10/2015 16:00:00,4.85
9/11/2015 16:00:00,4.56
9/14/2015 16:00:00,4.64
9/15/2015 16:00:00,4.54
9/16/2015 16:00:00,4.93
9/17/2015 16:00:00,4.83
9/18/2015 16:00:00,4.46
9/21/2015 16:00:00,4.34
9/22/2015 16:00:00,4.1
9/23/2015 16:00:00,4.04
9/24/2015 16:00:00,4.14
9/25/2015 16:00:00,4.08
9/28/2015 16:00:00,3.72
9/29/2015 16:00:00,3.89
9/30/2015 16:00:00,4.35
10/1/2015 16:00:00,4.17
10/2/2015 16:00:00,4.64
10/5/2015 16:00:00,4.89
10/6/2015 16:00:00,5.16
10/7/2015 16:00:00,5.37
10/8/2015 16:00:00,5.68
10/9/2015 16:00:00,5.67
10/12/2015 16:00:00,5.42
10/13/2015 16:00:00,5.03
10/14/2015 16:00:00,5.03
10/15/2015 16:00:00,5.09
10/16/2015 16:00:00,5.08
10/19/2015 16:00:00,4.99
10/20/2015 16:00:00,4.94
10/21/2015 16:00:00,4.78
10/22/2015 16:00:00,4.99
10/23/2015 16:00:00,4.98
10/26/2015 16:00:00,4.92
10/27/2015 16:00:00,4.7
10/28/2015 16:00:00,4.79
10/29/2015 16:00:00,4.82
10/30/2015 16:00:00,4.88
11/2/2015 16:00:00,5.02
11/3/2015 16:00:00,5.55
11/4/2015 16:00:00,5.24
11/5/2015 16:00:00,5.17
11/6/2015 16:00:00,5.06
