Date,Close
3/3/2015 16:00:00,4.99
3/4/2015 16:00:00,4.78
3/5/2015 16:00:00,4.71
3/6/2015 16:00:00,4.57
3/9/2015 16:00:00,4.33
3/10/2015 16:00:00,4.23
3/11/2015 16:00:00,4.31
3/12/2015 16:00:00,4.23
3/13/2015 16:00:00,4.06
3/16/2015 16:00:00,4.13
3/17/2015 16:00:00,4.27
3/18/2015 16:00:00,4.48
3/19/2015 16:00:00,4.29
3/20/2015 16:00:00,4.48
3/23/2015 16:00:00,4.55
3/24/2015 16:00:00,4.54
3/25/2015 16:00:00,4.46
3/26/2015 16:00:00,4.33
3/27/2015 16:00:00,4.17
3/30/2015 16:00:00,4.25
3/31/2015 16:00:00,4.37
4/1/2015 16:00:00,4.51
4/2/2015 16:00:00,4.64
4/6/2015 16:00:00,4.69
4/7/2015 16:00:00,4.67
4/8/2015 16:00:00,4.79
4/9/2015 16:00:00,4.69
4/10/2015 16:00:00,4.76
4/13/2015 16:00:00,4.65
4/14/2015 16:00:00,4.77
4/15/2015 16:00:00,4.87
4/16/2015 16:00:00,4.91
4/17/2015 16:00:00,4.76
4/20/2015 16:00:00,4.72
4/21/2015 16:00:00,4.75
4/22/2015 16:00:00,4.84
4/23/2015 16:00:00,5.01
4/24/2015 16:00:00,5.18
4/27/2015 16:00:00,5.11
4/28/2015 16:00:00,5.18
4/29/2015 16:00:00,5.05
4/30/2015 16:00:00,5.03
5/1/2015 16:00:00,5.06
5/4/2015 16:00:00,4.96
5/5/2015 16:00:00,4.96
5/6/2015 16:00:00,4.86
5/7/2015 16:00:00,4.91
5/8/2015 16:00:00,5
5/11/2015 16:00:00,4.85
5/12/2015 16:00:00,4.88
5/13/2015 16:00:00,4.78
5/14/2015 16:00:00,4.95
5/15/2015 16:00:00,5.06
5/18/2015 16:00:00,4.9
5/19/2015 16:00:00,4.78
5/20/2015 16:00:00,4.74
5/21/2015 16:00:00,4.57
5/22/2015 16:00:00,4.42
5/26/2015 16:00:00,4.26
5/27/2015 16:00:00,4.35
5/28/2015 16:00:00,4.3
5/29/2015 16:00:00,4.14
6/1/2015 16:00:00,4.16
6/2/2015 16:00:00,4.33
6/3/2015 16:00:00,4.24
6/4/2015 16:00:00,4.19
6/5/2015 16:00:00,4.12
6/8/2015 16:00:00,4.19
6/9/2015 16:00:00,4.13
6/10/2015 16:00:00,4.26
6/11/2015 16:00:00,4.27
6/12/2015 16:00:00,4.2
6/15/2015 16:00:00,4.16
6/16/2015 16:00:00,4.3
6/17/2015 16:00:00,4.28
6/18/2015 16:00:00,4.41
6/19/2015 16:00:00,4.26
6/22/2015 16:00:00,4.35
6/23/2015 16:00:00,4.38
6/24/2015 16:00:00,4.35
6/25/2015 16:00:00,4.29
6/26/2015 16:00:00,4.37
6/29/2015 16:00:00,4.27
6/30/2015 16:00:00,4.31
7/1/2015 16:00:00,4.25
7/2/2015 16:00:00,4.37
7/6/2015 16:00:00,4.18
7/7/2015 16:00:00,4.13
7/8/2015 16:00:00,3.99
7/9/2015 16:00:00,4.05
7/10/2015 16:00:00,4.22
7/13/2015 16:00:00,4.35
7/14/2015 16:00:00,4.37
7/15/2015 16:00:00,4.33
7/16/2015 16:00:00,4.31
7/17/2015 16:00:00,4.21
7/20/2015 16:00:00,4.14
7/21/2015 16:00:00,4.13
7/22/2015 16:00:00,4.01
7/23/2015 16:00:00,3.79
7/24/2015 16:00:00,3.73
7/27/2015 16:00:00,3.77
7/28/2015 16:00:00,3.81
7/29/2015 16:00:00,3.89
7/30/2015 16:00:00,3.76
7/31/2015 16:00:00,3.73
8/3/2015 16:00:00,3.59
8/4/2015 16:00:00,3.53
8/5/2015 16:00:00,3.48
8/6/2015 16:00:00,3.46
8/7/2015 16:00:00,3.38
8/10/2015 16:00:00,3.5
8/11/2015 16:00:00,3.42
8/12/2015 16:00:00,3.35
8/13/2015 16:00:00,3.24
8/14/2015 16:00:00,3.27
8/17/2015 16:00:00,3.23
8/18/2015 16:00:00,3.3
8/19/2015 16:00:00,3.18
8/20/2015 16:00:00,3.18
8/21/2015 16:00:00,3.12
8/24/2015 16:00:00,3
8/25/2015 16:00:00,2.97
8/26/2015 16:00:00,3.14
8/27/2015 16:00:00,3.26
8/28/2015 16:00:00,3.16
8/31/2015 16:00:00,3
9/1/2015 16:00:00,2.84
9/2/2015 16:00:00,2.86
9/3/2015 16:00:00,2.91
9/4/2015 16:00:00,2.74
9/8/2015 16:00:00,2.82
9/9/2015 16:00:00,2.86
9/10/2015 16:00:00,2.77
9/11/2015 16:00:00,2.71
9/14/2015 16:00:00,2.86
9/15/2015 16:00:00,2.88
9/16/2015 16:00:00,3.02
9/17/2015 16:00:00,3.01
9/18/2015 16:00:00,2.75
9/21/2015 16:00:00,2.67
9/22/2015 16:00:00,2.63
9/23/2015 16:00:00,2.49
9/24/2015 16:00:00,2.6
9/25/2015 16:00:00,2.55
9/28/2015 16:00:00,2.41
9/29/2015 16:00:00,2.42
9/30/2015 16:00:00,2.52
10/1/2015 16:00:00,2.54
10/2/2015 16:00:00,2.66
10/5/2015 16:00:00,2.78
10/6/2015 16:00:00,2.84
10/7/2015 16:00:00,2.94
10/8/2015 16:00:00,2.99
10/9/2015 16:00:00,2.97
10/12/2015 16:00:00,2.94
10/13/2015 16:00:00,2.72
10/14/2015 16:00:00,2.76
10/15/2015 16:00:00,2.77
10/16/2015 16:00:00,2.7
10/19/2015 16:00:00,2.64
10/20/2015 16:00:00,2.56
10/21/2015 16:00:00,2.52
10/22/2015 16:00:00,2.59
10/23/2015 16:00:00,2.58
10/26/2015 16:00:00,2.55
